date,Mkt.RF,SMB,HML,RF
20170103,0.83,-0.11,0.08,0.002
20170104,0.79,0.95,-0.15,0.002
20170105,-0.21,-0.87,-0.8,0.002
20170106,0.29,-0.62,-0.31,0.002
20170109,-0.37,-0.27,-1.04,0.002
20170110,0.16,0.97,0.56,0.002
20170111,0.31,-0.32,0.53,0.002
20170112,-0.3,-0.57,-0.88,0.002
20170113,0.29,0.63,-0.08,0.002
20170117,-0.49,-0.86,-0.59,0.002
20170118,0.24,0.18,0.24,0.002
20170119,-0.38,-0.5,-0.04,0.002
20170120,0.33,0.07,0.19,0.002
20170123,-0.29,-0.02,-0.31,0.002
20170124,0.83,0.68,0.81,0.002
20170125,0.84,0.16,0.36,0.002
20170126,-0.1,-0.62,0.38,0.002
20170127,-0.12,0.03,-0.66,0.002
20170130,-0.68,-0.72,-0.42,0.002
20170131,0,0.88,-0.55,0.002
20170201,0.04,-0.04,0.03,0.002
20170202,-0.02,-0.26,-0.31,0.002
20170203,0.82,0.55,0.64,0.002
20170206,-0.27,-0.57,-0.2,0.002
20170207,-0.01,-0.3,-0.52,0.002
20170208,0.06,-0.24,-0.53,0.002
20170209,0.72,0.7,0.02,0.002
20170210,0.38,0.39,0.12,0.002
20170213,0.49,-0.32,0.32,0.002
20170214,0.45,-0.23,0.33,0.002
20170215,0.54,0.19,-0.44,0.002
20170216,-0.16,-0.21,-0.03,0.002
20170217,0.2,-0.01,-0.57,0.002
20170221,0.6,-0.04,0.13,0.002
20170222,-0.15,-0.37,0.11,0.002
20170223,-0.11,-0.68,0.26,0.002
20170224,0.15,0.04,-0.92,0.002
20170227,0.22,0.82,-0.34,0.002
20170228,-0.42,-1.38,0.2,0.002
20170301,1.47,0.43,0.72,0.001
20170302,-0.7,-0.53,-0.88,0.001
20170303,0.09,-0.21,0.13,0.001
20170306,-0.38,-0.36,-0.1,0.001
20170307,-0.36,-0.29,-0.05,0.001
20170308,-0.19,-0.1,-0.82,0.001
20170309,0.04,-0.46,-0.27,0.001
20170310,0.34,0.1,-0.38,0.001
20170313,0.13,0.33,-0.03,0.001
20170314,-0.36,-0.23,0.02,0.001
20170315,0.86,0.73,-0.41,0.001
20170316,-0.06,0.45,0.24,0.001
20170317,-0.08,0.62,-0.26,0.001
20170320,-0.25,-0.07,-0.75,0.001
20170321,-1.48,-1.34,-0.69,0.001
20170322,0.16,-0.3,-0.54,0.001
20170323,-0.03,0.69,0.46,0.001
20170324,-0.05,0.13,-0.23,0.001
20170327,-0.05,0.56,-0.52,0.001
20170328,0.72,-0.15,0.71,0.001
20170329,0.18,0.39,-0.06,0.001
20170330,0.36,0.33,0.92,0.001
20170331,-0.16,0.57,-0.3,0.001
20170403,-0.28,-1.1,-0.11,0.003
20170404,0.05,-0.23,0.31,0.003
20170405,-0.44,-0.79,-0.31,0.003
20170406,0.32,0.69,0.5,0.003
20170407,-0.08,0.14,-0.26,0.003
20170410,0.08,0.1,0.1,0.003
20170411,-0.05,0.81,0.25,0.003
20170412,-0.49,-0.85,-0.54,0.003
20170413,-0.75,-0.23,-0.79,0.003
20170417,0.89,0.24,0.22,0.003
20170418,-0.25,0.36,-0.16,0.003
20170419,-0.08,0.6,-0.39,0.003
20170420,0.83,0.52,0.27,0.003
20170421,-0.28,0.1,-0.14,0.003
20170424,1.18,0.17,0.51,0.003
20170425,0.66,0.36,-0.05,0.003
20170426,0.04,0.7,0.31,0.003
20170427,0.05,-0.13,-0.96,0.003
20170428,-0.3,-0.67,-0.6,0.003
20170501,0.21,0.27,-0.13,0.003
20170502,0.03,-0.46,-0.21,0.003
20170503,-0.19,-0.54,0.2,0.003
20170504,0.02,-0.06,-0.36,0.003
20170505,0.46,0.06,0.05,0.003
20170508,-0.04,-0.27,0.28,0.003
20170509,-0.05,0.51,-0.78,0.003
20170510,0.21,0.19,0.02,0.003
20170511,-0.26,-0.36,-0.15,0.003
